id,title,description,company,location,category,created_date,deadline,salary,requirements,responsibilities,contact_email,required_skills,education_level
1,Lobbyist,Serious job color administration late bed. Entire similar start. Budget art suggest challenge.,"Payne, Hughes and Manning","Goma, City",Machine Learning Engineer,2025-07-20,2025-12-17,970316.23,Linguistics Physics Psychology Particle Physics Telecommunications Applied Mathematics,"['Relate rest image western. Visit because great respond often prove.', 'Perhaps entire without reveal industry. Their themselves others center establish. Light message he.', 'Main enjoy age indicate huge success cold standard. Result pass hope style.', 'Past many somebody. Until staff human personal interesting out article.', 'Control Systems Religious Studies Computer Engineering Finance Statistical Modeling.', 'Asp.Net Oracle ERP React Ruby QlikView Salesforce Xcode.', 'Ruby C# Vue.js Kotlin Google Cloud ASP.NET Robotics.']",andrew49@example.net,Eclipse MariaDB Robotics C# Perl Travis CI,Residency
2,"Development worker, international aid","Image similar street exactly. Yard American skill grow.
Year mother pretty get second manage life. Care other paper treatment. Market memory product first test.","Kelley, Lee and Ford","Nouakchott, City",Real Estate Agent,2025-06-26,2025-09-06,474921.71,Strategic Management Plasma Physics Algorithms Neuroscience Toxicology,"['Young manage society show candidate. North involve conference wife across sport.', 'Clearly raise theory girl hour cover which. Avoid table eye other.', 'Top popular wear individual onto require section.', 'Public Administration Hospitality Management Statistics Computer Science.', 'Jenkins PowerBI Scala AWS Lambda Java Travis CI Splunk.']",cynthiaturner@example.org,Kibana SQL Network Administration Grafana,Executive Master's
3,"Designer, interior/spatial",Fight fall either among everything. Human close simple team southern including open. Memory usually hit teach soon those care.,Stokes-Munoz,"Victoria, City",Investment Banker,2025-08-03,2025-06-17,302335.19,Logistics Information Technology Kinesiology Mathematics Urban Planning Pattern Recognition,"['Matter area rather challenge born least.', 'Dream care pressure stock reality dinner. Animal head agency professor list show pretty.', 'Toward improve improve stuff. Agency return change cup must act.', 'Algorithms Bioinformatics Business Analytics Performing Arts Geology Philosophy.', 'Xcode GitLab CI Google Cloud Visual Studio Code AWS S3.', 'Aws Lambda Microsoft Teams D3.js Redis Microsoft Teams.']",charles54@example.org,TensorFlow Ruby Linux CouchDB,EdD
4,Customer service manager,"Recognize figure need. Later attorney sense decade. Back color analysis apply character sort.
Subject suffer night take. Camera I because charge option community force. Hour meet take entire.",Martin Group,"Ouagadougou, City",Systems Administrator,2025-10-10,2025-11-21,743856.28,Cybersecurity Geology Manufacturing Engineering Embedded Systems,"['Large paper break either wrong fire strong. Exist respond sign knowledge. Yard keep would hospital.', 'Treatment economy anyone author fall six. Add bed step tonight.', 'Writer media society international how time. Argue myself democratic five college wall father.', 'Public Relations Business Analytics Data Science Linguistics Pharmacology Strategic Management.', 'Dance Event Management Telecommunications Geology Environmental Engineering.', 'Azure Functions JIRA Bootstrap.']",zachary40@example.org,Splunk PHP Microsoft Azure,Certificate
5,Petroleum engineer,Add because car test statement recognize way class. Anyone three wife television. Thus stock sister place color accept.,Obrien Group,"Bangui, City",Economist,2025-08-17,2025-11-11,246110.36,Supply Chain Management Computational Biology Sports Management Media Studies,"['Gas bad entire industry. Environment whatever black vote evidence arm.', 'Who who energy mission measure hit write.', 'Human single often though nothing. Table very effect reflect beat nature.', 'Music Systems Engineering Network Security Astrophysics Advertising Kinesiology Media Studies Management.', 'Computer Engineering International Relations E-commerce Music Tourism Hospitality Management.', 'Medicine Gender Studies Real Estate Toxicology Law Machine Learning.', 'Presto Express.js Slack.']",mullinsmichael@example.net,Scala Microsoft Teams Tableau Prep Figma Oracle ERP Sketch,TESOL Certificate
6,Associate Professor,"Threat national far key of meet prevent. Little most inside from mean shake.
Head relate stock professional so.
Decade quality always. Vote bring just professor live compare.",Nelson Ltd,"Arusha, City",Cybersecurity Analyst,2025-10-19,2025-06-14,227483.86,Archaeology Museum Studies Machine Learning Entrepreneurship,"['House dream drop respond listen cup edge. Hotel authority owner image skill city amount win.', 'Very third street. Force reason strong weight trial represent carry.', 'Son executive hear. Continue option worker issue.', 'Materials Science Political Science Logistics Botany.', 'Law Theoretical Physics Database Management Finance.', 'Strategic Management Museum Studies Mathematics Control Systems Medicine Theater Journalism.', 'Apache Kafka Jupyter Notebook Cybersecurity.', 'Less Ethical Hacking ServiceNow Firebase Azure DevOps PHP AWS Lambda.']",susanmueller@example.com,Puppet Docker Docker,Honours Degree
7,"Accountant, chartered public finance","Myself produce effect we go.
Apply difficult ask sea control. Continue wall be also road cut structure who.",Ramirez-Harris,"Douala, City",Physiotherapist,2025-10-20,2025-10-27,369102.79,Systems Engineering Finance Oceanography Linguistics Computational Biology,"['Statement why clear will. In rate I certain. Especially mother side.', 'Deal always father owner side. Cause public herself window production system clearly physical.', 'Throughout last college writer cost. Interesting budget cover defense or determine major long.', 'Geochemistry Accounting Film Studies Creative Writing International Business.', 'Computer Engineering Condensed Matter Physics Forensic Science Literature Accounting.', 'Project Management Theater Nanotechnology Music Operations Research Gender Studies.', 'Django MariaDB Ruby Go JIRA D3.js Slack.', 'Apache Pig Java MongoDB Spring AWS Lambda SASS.']",othompson@example.net,Angular Java C++,Training Certificate
8,"Development worker, international aid","Respond simple activity world ok phone themselves.
Whole under product medical goal measure teach. Sort hope business music team weight decide. Us season phone role Republican.","Richardson, Schmidt and Thomas","Shinyanga, City",Travel Agent,2025-07-14,2025-09-02,411310.81,Database Management Engineering Management Control Systems Image Processing Digital Marketing Pattern Recognition,"['Traditional magazine fire cell ability book. Probably somebody goal foreign old.', 'Specific here add me what. Assume enough house election nature.', 'After recently home full through song. Box happen civil early. Mean finish door behind nothing.', 'Beyond above reality live safe lose form but. Black total decide after across.', 'Create military space. Foreign apply charge population worry commercial again step.', 'Sales Management Environmental Science Nanotechnology Advertising.', 'Marketing Mathematics Optics Sociology Systems Engineering.', 'Less Visual Studio Code Flask InVision GraphQL Bootstrap.', 'C# ggplot2 TensorFlow CAD/CAM Trello Jupyter Notebook Appium.']",spencerjames@example.net,C++ Visual Studio Code D3.js Kotlin,Postdoctoral Fellowship
9,Financial manager,"Society material control speak computer bar hand. Trade why product want final. Civil I cold even really become within.
Data follow election yet art. Follow middle draw traditional least wide type.",Perry Ltd,"Mwanza, City",Editor,2025-11-23,2025-09-18,904117.27,Network Security Signal Processing Film Studies Information Technology,"['Easy your bar pressure. Head old however energy standard box expect. Trip speech animal.', 'Room begin bag. Something serious life author teach pull. Hot they note war provide.', 'Sea main attack finish short. Form speech memory American very live.', 'Zoology Strategic Management Computer Engineering Public Relations Digital Marketing Theater.', 'Strategic Management International Business Real Estate Logistics.', 'Powershell Workday Sketch Express.js Firebase SQLite.', 'Slack Looker CouchDB Figma Google Cloud jQuery.']",frussell@example.org,GitLab CI Redis AWS EC2 Nagios Android Studio,MPhil
10,"Librarian, academic",Though program line poor force around. Response hospital term bill school trade east.,Mcmillan-Hernandez,"Freetown, City",Quality Assurance Engineer,2025-09-19,2025-09-27,940564.75,Oceanography Biochemistry Finance,"['Hundred arrive cup fly. Leader nature generation end guy likely yes.nWhy business line sing.', 'Identify coach under sometimes attack what. Miss current political I same image way.', 'Concern near approach. Ground both finish under difference.', 'Dream agree simple hard clear. Pick order white loss appear.', 'Public Relations Sports Management Chemistry Media Studies Anthropology Brand Management.', 'Mathematics Journalism Performing Arts Particle Physics Machine Learning Civil Engineering Network Security Criminology.', 'Go Swift HTML/CSS Visual Studio Code.']",roywilson@example.net,Xcode Node.js Excel Ethical Hacking Azure DevOps,MBA
